bookID,title,authors,average_rating,language_code,num_pages,text_reviews_count
221,Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb,3.8,eng,224,43
222,The Zen of CSS Design: Visual Enlightenment for the Web,Dave Shea/Molly E. Holzschlag,3.98,en-US,296,28
223,HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,3.8,en-US,456,42
224,1000 Record Covers,Michael Ochs/Patrick Javault/Ulrike Wasel,3.85,mul,575,31
225,Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,3.81,eng,245,1109
226,Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,3.73,eng,272,3324
227,Vice (V  #8),Jane Feather,3.51,eng,419,19
228,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),Robert M. Pirsig,3.77,eng,540,6446
229,Once Upon a Cool Motorcycle Dude,Kevin O'Malley/Carol Heyer/Scott Goto,4.08,eng,32,274
230,Guidebook to Zen and the Art of Motorcycle Maintenance,Ronald L. DiSanto/Thomas J. Steele,3.72,en-GB,408,10
231,Motorcycle Basics Techbook,John Harold Haynes,3.85,eng,222,2
232,LOGO Lounge: 2 000 International Identities by Leading Designers,Catharine M. Fishel/Bill Gardner,3.93,eng,191,0
233,The Death of Ivan Ilych And Other Stories,Leo Tolstoy/Hugh McLean,4.11,eng,304,266
234,War and Peace,Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude,4.11,eng,1392,6245
235,The Kingdom of God Is Within You,Leo Tolstoy/Constance Garnett,4.13,eng,352,210
236,Atlas Shrugged,Ayn Rand/Leonard Peikoff,3.69,eng,1168,14702
237,For the New Intellectual: The Philosophy of Ayn Rand,Ayn Rand,3.68,eng,224,108
238,The Fountainhead,Ayn Rand,3.87,en-US,752,229
239,The Virtue of Selfishness: A New Concept of Egoism,Ayn Rand/Nathaniel Branden,3.51,eng,176,467
240,Anthem,Ayn Rand,3.63,eng,105,7277
241,We the Living,Ayn Rand/Leonard Peikoff,3.91,eng,464,1086
242,Capitalism: The Unknown Ideal,Ayn Rand/Nathaniel Branden/Alan Greenspan/Robert Hessen,3.88,eng,340,153
243,Letters of Ayn Rand,Ayn Rand/Michael S. Berliner/Leonard Peikoff,3.96,eng,681,2
244,Sailing for Dummies,J.J. Isler/Peter Isler,3.95,eng,416,7
245,Sailing from Byzantium: How a Lost Empire Shaped the World,Colin  Wells,3.88,eng,368,83
246,Sailing Alone Around the Room: New and Selected Poems,Billy Collins,4.23,eng,192,630
247,The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,Christopher Caswell,3.62,eng,286,5
248,"Natural Cures ""They"" Don't Want You to Know about",Kevin Trudeau,3.09,en-US,571,284
249,The Natural,Bernard Malamud/Kevin Baker,3.63,eng,231,672
250,Digging to America,Anne Tyler,3.55,eng,277,1841
251,Rereading America: Cultural Contexts for Critical Thinking and Writing,Gary Colombo/Bonnie Lisle,3.77,eng,826,3
252,Modern Latin America,Thomas E. Skidmore/Peter H. Smith,3.59,en-US,528,11
253,The Plot Against America,Philip Roth,3.77,eng,391,2925
254,Naked Pictures of Famous People,Jon   Stewart,3.59,en-GB,164,417
255,Collected Stories,Gabriel García Márquez/Gregory Rabassa/J.S. Bernstein,4.19,eng,352,179
256,Crónica de una muerte anunciada,Gabriel García Márquez,3.97,spa,118,411
257,Cien años de soledad,Gabriel García Márquez,4.07,spa,496,5
258,Del amor y otros demonios,Gabriel García Márquez,3.98,spa,176,278
259,Living to Tell the Tale,Gabriel García Márquez/Edith Grossman,3.99,eng,533,47
260,Memoria de mis putas tristes,Gabriel García Márquez,3.6,spa,112,377
261,The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,Brian Greene,4.07,eng,425,1058
262,Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,Upasika Kee Nanayon/Thanissaro Bhikkhu,4.29,eng,288,6
263,The Mini Rough Guide to London,Rob Humphreys/Beth Chaplin/Rebecca Morrill,3.75,eng,363,0
264,Best of London (Lonely Planet Best Of),Lonely Planet/Sarah Johnstone/Steve Fallon,3.83,eng,128,0
265,Lonely Planet Londres,Lonely Planet/Sarah Johnstone/Tom Masters,4.03,spa,480,0
266,Out to Eat London 2002 (Lonely Planet Out to Eat),Lonely Planet/Mark Honan,0,eng,295,0
267,Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager,H.G. Bissinger,3.88,eng,287,237
268,Cryptonomicon,Neal Stephenson,4.25,eng,1139,4249
269,Le Réseau Kinakuta (Cryptonomicon  #2),Neal Stephenson,4.1,fre,418,0
270,The Confusion (The Baroque Cycle  #2),Neal Stephenson,4.26,en-US,815,565
271,Quicksilver (The Baroque Cycle  #1),Neal Stephenson,3.93,eng,927,1735
272,The Cobweb,Neal Stephenson/J. Frederick George,3.61,eng,448,137
273,The Big U,Neal Stephenson,3.25,en-US,308,223
274,The Diamond Age: Or  A Young Lady's Illustrated Primer,Neal Stephenson/Pedro Jorge Romero,4.19,eng,499,2767
275,Interface,Neal Stephenson/George F. Jewsbury/Stephen  Bury,3.68,eng,640,270
276,Odalisque (The Baroque Cycle  Vol. 1  Book 3),Neal Stephenson,4.2,en-US,464,65
277,Snow Crash,Neal Stephenson/Guy Abadia,4.03,eng,438,6612
278,Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume II: The Endgame,Dan Harrington/Bill Robertie,4.16,eng,450,30
279,Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume I: Strategic Play,Dan Harrington/Bill Robertie,4.24,eng,381,72
280,The Design of Everyday Things,Donald A. Norman,4.17,eng,240,1379
281,Emotional Design: Why We Love (or Hate) Everyday Things,Donald A. Norman,3.95,eng,272,149
282,The Psychology of Everyday Things,Donald A. Norman,4.17,eng,257,31
283,No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson,Alex C. Jones/Diane M. Hanson/Stephen K. Ray,4.27,en-GB,259,7
284,The Alchemist,Paulo Coelho/Alan R. Clarke/James Noel Smith,3.86,eng,192,76
285,The Alchemist,Paulo Coelho/Alan R. Clarke/Özdemir İnce,3.86,eng,197,55843
286,Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9),Hiromu Arakawa/Akira Watanabe,4.57,eng,192,153
287,Fullmetal Alchemist  Vol. 3 (Fullmetal Alchemist  #3),Hiromu Arakawa/Akira Watanabe,4.56,eng,192,299
288,Fullmetal Alchemist  Vol. 8 (Fullmetal Alchemist  #8),Hiromu Arakawa/Akira Watanabe,4.57,eng,192,161
289,Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1),Hiromu Arakawa/Akira Watanabe,4.5,eng,192,1427
290,Fullmetal Alchemist  Vol. 4 (Fullmetal Alchemist  #4),Hiromu Arakawa/Akira Watanabe,4.55,eng,200,294
291,The Illustrated Alchemist: A Fable about Following Your Dream,Paulo Coelho/Alan R. Clarke/Mœbius,3.86,en-US,198,32
292,Fullmetal Alchemist  Vol. 2 (Fullmetal Alchemist  #2),Hiromu Arakawa/Akira Watanabe,4.52,eng,192,419
293,Pompeii,Robert   Harris,3.82,eng,274,1726
294,The Last Days of Pompeii,Edward Bulwer-Lytton/John Gregory Betancourt,3.6,eng,360,68
295,Of Mice and Men,John Steinbeck,3.87,eng,103,25554
296,The Game: Penetrating the Secret Society of Pickup Artists,Neil Strauss,3.74,en-US,464,1592
297,The Westing Game,Ellen Raskin,4.02,eng,182,8782
298,The Egypt Game,Zilpha Keatley Snyder,3.83,eng,215,1130
299,Memoirs of a Geisha,Arthur Golden,4.11,eng,503,3703
300,Memoirs of a Geisha,Arthur Golden,4.11,eng,434,19296
301,Memoirs of a Geisha,Arthur Golden,4.11,en-US,497,256
302,Memoirs of a Geisha: A Portrait of the Film,David        James/Peggy Mulloy/Rob Marshall/Arthur Golden,4.08,eng,144,8
303,Memoirs of a Geisha,Arthur Golden,4.11,eng,497,462
304,Geisha of Gion,Mineko Iwasaki/Rande Brown,3.93,eng,334,158
305,Love As A Foreign Language #5,J. Torres/Eric  Kim,3.44,eng,58,2
